ensembl_peptide_id	entrezgene_id
ENSP00000232564	59345
ENSP00000231454	3567
ENSP00000216286	22795
ENSP00000247668	7186
ENSP00000258400	3357
ENSP00000221459	64130
ENSP00000211287	5603
ENSP00000245414	3659
ENSP00000040877	6894
ENSP00000170168	57455
ENSP00000250916	83855
ENSP00000256495	8553
ENSP00000258411	80326
ENSP00000199320	27292
ENSP00000255641	1455
ENSP00000218348	8237
ENSP00000256497	9695
ENSP00000252622	51690
ENSP00000215570	26517
ENSP00000224950	79991
ENSP00000256443	1022
ENSP00000218032	51311
ENSP00000215565	4713
ENSP00000251413	7283
ENSP00000216115	638
ENSP00000161559	634
ENSP00000236147	6402
ENSP00000261401	23603
ENSP00000253796	10266
ENSP00000239027	3070
ENSP00000253794	84313
ENSP00000221515	56729
ENSP00000243501	81579
ENSP00000215794	11274
ENSP00000261483	4124
ENSP00000230056	51053
ENSP00000248901	27128
ENSP00000016171	1355
ENSP00000226284	3381
ENSP00000248594	5782
ENSP00000259400	55014
ENSP00000237612	9429
ENSP00000254122	2488
ENSP00000252519	59272
ENSP00000000442	2101
ENSP00000227266	1075
ENSP00000253083	9026
ENSP00000215980	79019
ENSP00000256720	23175
ENSP00000056217	7984
ENSP00000236671	1509
ENSP00000254846	23135
ENSP00000257857	967
ENSP00000223366	2645
ENSP00000261461	5525
ENSP00000042931	54831
ENSP00000259874	8870
ENSP00000259818	347733
ENSP00000260570	26160
ENSP00000228918	4055
ENSP00000222718	3199
ENSP00000222726	3202
ENSP00000242159	3204
ENSP00000244061	55905
ENSP00000006015	3207
ENSP00000009180	928
ENSP00000244050	6615
ENSP00000262030	506
ENSP00000262033	10728
ENSP00000009105	57172
ENSP00000252891	9253
ENSP00000241416	92
ENSP00000256460	8536
ENSP00000257245	26519
ENSP00000201031	7022
ENSP00000221561	166
ENSP00000257934	9700
ENSP00000016946	84220
ENSP00000016946	727851
ENSP00000209873	8086
ENSP00000246551	10870
ENSP00000261396	55746
ENSP00000254325	5989
ENSP00000253812	56112
ENSP00000257863	269
ENSP00000261769	999
ENSP00000252085	26025
ENSP00000209875	23468
ENSP00000262061	22818
ENSP00000247003	54555
ENSP00000252087	56097
ENSP00000229238	51258
ENSP00000221930	7040
ENSP00000229239	2597
ENSP00000003100	1595
ENSP00000215574	997
ENSP00000221566	6449
ENSP00000232217	5948
ENSP00000261475	55012
ENSP00000261479	5687
ENSP00000234626	8317
ENSP00000244534	3007
ENSP00000244537	8361
ENSP00000216223	3560
ENSP00000250244	10053
ENSP00000262133	5934
ENSP00000257068	4544
ENSP00000216484	9517
ENSP00000214869	11018
ENSP00000216267	23774
ENSP00000005180	10344
ENSP00000222902	6369
ENSP00000229595	25842
ENSP00000251102	1258
ENSP00000248600	51657
ENSP00000259457	5695
ENSP00000225964	1277
ENSP00000222402	51619
ENSP00000223459	146542
ENSP00000232888	9136
ENSP00000017003	64132
ENSP00000222330	2931
ENSP00000225969	51264
ENSP00000262018	6442
ENSP00000255030	1401
ENSP00000229328	5564
ENSP00000166345	9319
ENSP00000204679	84572
ENSP00000240055	4801
ENSP00000231656	1044
ENSP00000257575	84900
ENSP00000241600	51116
ENSP00000251636	54505
ENSP00000229195	4848
ENSP00000261377	81691
ENSP00000223641	10952
ENSP00000233954	9173
ENSP00000199706	10573
ENSP00000233893	3336
ENSP00000219479	4833
ENSP00000259396	5004
ENSP00000248342	27335
ENSP00000219481	26063
ENSP00000260956	6741
ENSP00000222382	64816
ENSP00000229829	3111
ENSP00000250448	3169
ENSP00000261879	83464
ENSP00000255380	1131
ENSP00000247219	387332
ENSP00000258742	11097
ENSP00000255266	5145
ENSP00000222725	3955
ENSP00000233084	1653
ENSP00000219833	6530
ENSP00000242462	50674
ENSP00000194155	56133
ENSP00000231130	56132
ENSP00000194152	56131
ENSP00000231134	26167
ENSP00000231136	56130
ENSP00000259008	83990
ENSP00000231137	56129
ENSP00000239446	56126
ENSP00000239450	56124
ENSP00000239449	56122
ENSP00000260061	2615
ENSP00000231173	56121
ENSP00000205402	1738
ENSP00000259371	153090
ENSP00000217893	6880
ENSP00000205557	368
ENSP00000229002	79785
ENSP00000222145	54922
ENSP00000251535	239
ENSP00000238994	5507
ENSP00000215637	8174
ENSP00000239223	1843
ENSP00000252711	4705
ENSP00000260402	5330
ENSP00000226524	5197
ENSP00000256797	10595
ENSP00000005340	1856
ENSP00000005284	10368
ENSP00000261944	54825
ENSP00000033079	51306
ENSP00000245157	583
ENSP00000007699	51087
ENSP00000261973	58517
ENSP00000009530	972
ENSP00000259406	5998
ENSP00000216797	4792
ENSP00000249750	8854
ENSP00000261908	4756
ENSP00000260970	9360
ENSP00000258145	2799
ENSP00000040663	84245
ENSP00000219240	1723
ENSP00000261693	949
ENSP00000261917	10021
ENSP00000261070	10063
ENSP00000218075	2742
ENSP00000178640	5607
ENSP00000253496	2161
ENSP00000044462	5685
ENSP00000216367	5427
ENSP00000243786	3623
ENSP00000219302	4832
ENSP00000262294	4591
ENSP00000221859	5438
ENSP00000254691	84674
ENSP00000254351	6382
ENSP00000246533	826
ENSP00000256404	157310
ENSP00000231228	3593
ENSP00000261842	23431
ENSP00000256442	891
ENSP00000244869	2069
ENSP00000257770	4907
ENSP00000261921	4016
ENSP00000258042	4829
